 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
FRU1234,Parle Mango Frooti Cold Drink 500ML,Parle Agro,13-18,30.000,,,,8902579104016    ,8904109449819    ,,,,
KNL1256,Kinley Water Bottle 1L,Coca Cola,13-17,20.000,,,,8901764082405    ,8904109449819    ,,,,
344956,PATAJALI TOMATO KETCHUP (ONION GARLIC),Patanjali,11-17,70.000,,,,8904109420696    ,8904109420696    ,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,12-18,699.000,,,,8904109468094    ,8904109468094    ,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,01-19,699.000,,,,8904109468094    ,8904109468094    ,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,12-19,70.000,,,,8904109449840    ,8904109449840    ,,,,
I16614,PATANAJALI SHISHU CARE HAIR CLEANSER100ML,Patanjali,12-19,80.000,,,,8904109449833    ,8904109449833    ,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,09-18,70.000,,,,8904109449840    ,8904109449840    ,,,,
,PATANAJALI SHISHU CARE BODY LOTION 100,Patanjali,,85.000,,,,8904109449826    ,8904109449826    ,,,,
I06118,PATANJAJI NARIYAL BISCUITS 100GM,Patanjali,12-19,10.000,,,,8902351222211    ,8902351222211    ,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,04-17,30.000,,,,8902351222372    ,8902351222372    ,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,07-17,30.000,,,,8902351222372    ,8902351222372    ,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,10-18,24.000,,,,8904109450181    ,8904109450181    ,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,06-18,24.000,,,,8904109450181    ,8904109450181    ,,,,
II3837,PATANJALI  DALIYA PUSHTAHAR,Patanjali,05-17,40.000,,,,8904109465123    ,8904109465123    ,,,,
,PATANJALI MADHURAM AGAR KONARK,Patanjali,,20.000,,,,8904109470493    ,8904109470493    ,,,,
,PATANJALI MADHURAM AGAR ALKANANDA,Patanjali,,20.000,,,,8904109470509    ,8904109470509    ,,,,
,PATANJALI MADHURAM AGAR MEDITATION,Patanjali,,20.000,,,,8904109466052    ,8904109466052    ,,,,
,PATANJALI MADHURAM AGAR AMBER,Patanjali,,20.000,,,,8904109466090    ,8904109466090    ,,,,
,PATANJALI MADHURAM AGAR VANGANDHA,Patanjali,,20.000,,,,8904109470523    ,8904109470523    ,,,,
,PATANJALI MADHURAM AGAR OUDH,Patanjali,,20.000,,,,8904109466106    ,8904109466106    ,,,,
,PATANJALI MADHURAM WHITE FLOWER,Patanjali,,20.000,,,,8904109466069    ,8904109466069    ,,,,
,PATANJALI MADHURAM AGAR YAJNASUGNA,Patanjali,,20.000,,,,8904109466045    ,8904109466045    ,,,,
,PATANJALI MADHURAM AGAR ROSE,Patanjali,,20.000,,,,8904109466021    ,8904109466021    ,,,,
,PATANJALI MADHURAM AGAR LAVENDER,Patanjali,,20.000,,,,8904109466083    ,8904109466083    ,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,11-17,38.000,,,,8904109465185    ,8904109465185    ,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,09-17,38.000,,,,8904109465185    ,8904109465185    ,,,,
I05325,PATANJALI AATA 5KG,Patanjali,12-19,170.000,,,,,,,,,
I14103,PATANJALI ACTIVE CARE BRUSH,Patanjali,12-19,20.000,,,,8904109401169    ,8904109401169    ,,,,
I17808,PATANJALI ADVANCE PASTE 50GM,Patanjali,09-18,50.000,,,,,,,,,
I14461,PATANJALI AJOWAN 100GMS,Patanjali,12-18,38.000,,,,8904109470479    ,8904109470479    ,,,,
II8888,PATANJALI ALMOND HAIR OIL,Patanjali,10-18,50.000,,,,8904109470875    ,8904109470875    ,,,,
II8868,PATANJALI ALMOND KESAR HAND WASH,Patanjali,08-17,90.000,,,,8904109430626    ,8904109430626    ,,,,
II8886,PATANJALI ALMOND KESAR KANTI SOAP 75GM,Patanjali,04-18,19.000,,,,8904109450242    ,8904109450242    ,,,,
092975,PATANJALI ALOEVERA GEL 60ML,Patanjali,05-18,40.000,,,,8904109400360    ,8904109400360    ,,,,
,PATANJALI ALOEVERA GEL 150ML,Patanjali,,80.000,,,,8904109400353    ,8904109400353    ,,,,
I01306,PATANJALI ALOEVERA JUICE PLAIN,Patanjali,05-17,180.000,,,,,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,10-18,25.000,,,,8904109451928    ,8904109451928    ,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,10-18,25.000,,,,8904109451928    ,8904109451928    ,,,,
344463,PATANJALI ALOEVERA MOISTURIZING CREAM,Patanjali,11-18,75.000,,,,8904109450594    ,8904109450594    ,,,,
I18660,PATANJALI AMLA ALOVERA JUICE WHEAT GRASS,Patanjali,01-18,100.000,,,,8904109465291    ,8904109465291    ,,,,
I16005,PATANJALI AMLA ALOVERA LITCHI 65ML,Patanjali,04-17,5.000,,,,8904109445330    ,8904109445330    ,,,,
,PATANJALI AMLA AMRIT 5ML,Patanjali,,5.000,,,,8904109465130    ,8904109465130    ,,,,
III469,PATANJALI AMLA HAIR OIL 100ML,Patanjali,10-18,40.000,,,,8904109470868    ,8904109470868    ,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,11-17,95.000,,,,8904109465918    ,8904109465918    ,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,02-18,95.000,,,,8904109465918    ,8904109465918    ,,,,
,PATANJALI AMLA CANDY 500GM,Patanjali,,140.000,,,,8904109470127    ,8904109470127    ,,,,
,PATANJALI AMRIT RASYAN 500 GM,Patanjali,,85.000,,,,8904109465581    ,8904109465581    ,,,,
,PATANJALI AMLA CHATPATA 500GM,Patanjali,,145.000,,,,8904109490521    ,8904109490521    ,,,,
,PATANJALI BEL CANDY 500 GM,Patanjali,,140.000,,,,8904109470110    ,8904109470110    ,,,,
II3848,PATANJALI ANTI BACTIREA HAND WASH REFIL,Patanjali,09-18,40.000,,,,8904109451102    ,8904109451102    ,,,,
I01423,PATANJALI ANTI WRINK CREAM,Patanjali,11-18,150.000,,,,8904109450143    ,8904109450143    ,,,,
I14430,PATANJALI APPLE 1LTR,Patanjali,12-19,85.000,,,,,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,07-18,60.000,,,,8904109451348    ,8904109451348    ,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,12-19,60.000,,,,8904109451348    ,8904109451348    ,,,,
017930,PATANJALI ARHAR DAL (TUVAR DAL),Patanjali,07-17,124.000,,,,,,,,,
044755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,06-17,63.000,,,,8904109474033    ,8904109474033    ,,,,
044755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,06-17,63.000,,,,8904109474033    ,8904109474033    ,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,08-17,80.000,,,,8904109467622    ,8904109467622    ,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,07-17,10.000,,,,8902351222228    ,8902351222228    ,,,,
I02137,PATANJALI ASHWAGANDHA CAP,Patanjali,03-19,5.000,,,,,,,,,
III432,PATANJALI ATTA NOODLES CLASSIC 60GM,Patanjali,12-19,10.000,,,,8904109409950    ,8904109409950    ,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,07-19,130.000,,,,8904109470882    ,8904109470882    ,,,,
I01316,PATANJALI BADAM PAK 250GM,Patanjali,10-19,130.000,,,,8904109470882    ,8904109470882    ,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,07-19,250.000,,,,8904109470073    ,8904109470073    ,,,,
I14392,PATANJALI BADAM PAK 500GM,Patanjali,10-19,250.000,,,,8904109470073    ,8904109470073    ,,,,
I18625,PATANJALI BADAM ROGAN 150ML,Patanjali,12-18,365.000,,,,8904049102010    ,8904049102010    ,,,,
I02239,PATANJALI BADAM ROGHAN 60ML,Patanjali,04-19,150.000,,,,8904049101778    ,8904049101778    ,,,,
II8881,PATANJALI BAL SHAVING CREAM.,Patanjali,12-18,55.000,,,,8904109450624    ,8904109450624    ,,,,
092045,PATANJALI BALM 10GM,Patanjali,10-17,18.000,,,,8904109400506    ,8904109400506    ,,,,
I01390,PATANJALI BALM 25GM,Patanjali,12-18,40.000,,,,8904109400322    ,8904109400322    ,,,,
I14080,PATANJALI BANDANI HING,Patanjali,06-19,20.000,,,,8904109445378    ,8904109445378    ,,,,
I14080,PATANJALI BANDANI HING,Patanjali,03-18,20.000,,,,8904109445378    ,8904109445378    ,,,,
I14080,PATANJALI BANDANI HING,Patanjali,01-18,20.000,,,,8904109445378    ,8904109445378    ,,,,
I14147,PATANJALI BANDHANI HING 25GM,Patanjali,12-19,40.000,,,,8904109445392    ,8904109445392    ,,,,
II8873,PATANJALI BARLEY DALIA,Patanjali,12-19,30.000,,,,,,,,,
I14917,PATANJALI BASMATI DIAMOND RICE 5 KG,Patanjali,07-18,700.000,,,,8904109467691    ,8904109467691    ,,,,
,PATANJALI 1121 DIAMOND RICE  1KG,Patanjali,,145.000,,,,8904109467721    ,8904109467721    ,,,,
,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540.000,,,,8904109467875    ,8904109467875    ,,,,
,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100.000,,,,8904109467752    ,8904109467752    ,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,12-19,110.000,,,,8904109467714    ,8904109467714    ,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,07-18,510.000,,,,8904109467684    ,8904109467684    ,,,,
,PATANJALI BESAN 500GM,Patanjali,,90.000,,,,8904109465161    ,8904109465161    ,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,01-19,70.000,,,,8904109450167    ,8904109450167    ,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,10-17,60.000,,,,8904109451157    ,8904109451157    ,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,12-19,60.000,,,,8904109451157    ,8904109451157    ,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,07-17,40.000,,,,8904109450587    ,8904109450587    ,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,05-17,40.000,,,,8904109450587    ,8904109450587    ,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,12-19,100.000,,,,8904109440168    ,8904109440168    ,,,,
108865,PATANJALI BURA 1KG,Patanjali,12-19,65.000,,,,8904109464621    ,8904109464621    ,,,,
I18163,PATANJALI BUTTER COOKIES TIN 400GM,Patanjali,07-17,200.000,,,,8904109410215    ,8904109410215    ,,,,
I14727,PATANJALI CHANA DAL 1KG,Patanjali,12-19,138.000,,,,8904109474101    ,8904109474101    ,,,,
I14432,PATANJALI CHANA DAL 35GM,Patanjali,06-18,10.000,,,,7904162443121    ,7904162443121    ,,,,
CL0363,PATANJALI CHANA DAL 500GM,Patanjali,12-19,74.000,,,,8904109474019    ,8904109474019    ,,,,
II3845,PATANJALI CHANA MASALA,Patanjali,10-17,45.000,,,,,,,,,
