 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,Oct-18,85,,,,8.90411E+12,,,,,
I16613,PATAJALI SHISHU CARE MASSAGE OIL 100ML,Patanjali,Sep-18,85,,,,8.90411E+12,,,,,
344956,PATAJALI TOMATO KETCHUP (ONION GARLIC),Patanjali,Nov-17,70,,,,8.90411E+12,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,Dec-18,699,,,,8.90411E+12,,,,,
I18471,PATANAJALI ROYAL SONAMASORI RICE,Patanjali,Jan-19,699,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,Dec-19,70,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR CLEANSER100ML,Patanjali,Dec-19,80,,,,8.90411E+12,,,,,
I16614,PATANAJALI SHISHU CARE HAIR OIL 100ML,Patanjali,Sep-18,70,,,,8.90411E+12,,,,,
I156789,PATANAJALI SHISHU CARE BODY LOTION 100,Patanjali,,85,,,,8.90411E+12,,,,,
I06118,PATANJAJI NARIYAL BISCUITS 100GM,Patanjali,Dec-19,10,,,,8.90235E+12,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,Apr-17,30,,,,8.90235E+12,,,,,
I14464,PATANJAJI NARIYAL BISCUITS 300GM,Patanjali,Jul-17,30,,,,8.90235E+12,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,Oct-18,24,,,,8.90411E+12,,,,,
I01373,PATANJALI  AQUA FRESH SOAP 75GM,Patanjali,Jun-18,24,,,,8.90411E+12,,,,,
II3837,PATANJALI  DALIYA PUSHTAHAR,Patanjali,May-17,40,,,,8.90411E+12,,,,,
I34678,PATANJALI MADHURAM AGAR KONARK,Patanjali,,20,,,,8.90411E+12,,,,,
27890,PATANJALI MADHURAM AGAR ALKANANDA,Patanjali,,20,,,,8.90411E+12,,,,,
27891,PATANJALI MADHURAM AGAR MEDITATION,Patanjali,,20,,,,8.90411E+12,,,,,
27892,PATANJALI MADHURAM AGAR AMBER,Patanjali,,20,,,,8.90411E+12,,,,,
27893,PATANJALI MADHURAM AGAR VANGANDHA,Patanjali,,20,,,,8.90411E+12,,,,,
27894,PATANJALI MADHURAM AGAR OUDH,Patanjali,,20,,,,8.90411E+12,,,,,
27895,PATANJALI MADHURAM WHITE FLOWER,Patanjali,,20,,,,8.90411E+12,,,,,
27896,PATANJALI MADHURAM AGAR YAJNASUGNA,Patanjali,,20,,,,8.90411E+12,,,,,
27897,PATANJALI MADHURAM AGAR ROSE,Patanjali,,20,,,,8.90411E+12,,,,,
27898,PATANJALI MADHURAM AGAR LAVENDER,Patanjali,,20,,,,8.90411E+12,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,Nov-17,38,,,,8.90411E+12,,,,,
I02204,PATANJALI  SPICES SABZI MASALA 100GM,Patanjali,Sep-17,38,,,,8.90411E+12,,,,,
I05325,PATANJALI AATA 5KG,Patanjali,Dec-19,170,,,,8.90411E+12,,,,,
I14103,PATANJALI ACTIVE CARE BRUSH,Patanjali,Dec-19,20,,,,8.90411E+12,,,,,
I17808,PATANJALI ADVANCE PASTE 50GM,Patanjali,Sep-18,50,,,,8.90411E+12,,,,,
I14461,PATANJALI AJOWAN 100GMS,Patanjali,Dec-18,38,,,,8.90411E+12,,,,,
II8888,PATANJALI ALMOND HAIR OIL,Patanjali,Oct-18,50,,,,8.90411E+12,,,,,
II8868,PATANJALI ALMOND KESAR HAND WASH,Patanjali,Aug-17,90,,,,8.90411E+12,,,,,
II8886,PATANJALI ALMOND KESAR KANTI SOAP 75GM,Patanjali,Apr-18,19,,,,8.90411E+12,,,,,
92975,PATANJALI ALOEVERA GEL 60ML,Patanjali,May-18,40,,,,8.90411E+12,,,,,
92976,PATANJALI ALOEVERA GEL 150ML,Patanjali,,80,,,,8.90411E+12,,,,,
I01306,PATANJALI ALOEVERA JUICE PLAIN,Patanjali,May-17,180,,,,8.90411E+12,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,Oct-18,25,,,,8.90411E+12,,,,,
I15732,PATANJALI ALOEVERA KANTI SOAP 150GM,Patanjali,Oct-18,25,,,,8.90411E+12,,,,,
344463,PATANJALI ALOEVERA MOISTURIZING CREAM,Patanjali,Nov-18,75,,,,8.90411E+12,,,,,
I18660,PATANJALI AMLA ALOVERA JUICE WHEAT GRASS,Patanjali,Jan-18,100,,,,8.90411E+12,,,,,
I16005,PATANJALI AMLA ALOVERA LITCHI 65ML,Patanjali,Apr-17,5,,,,8.90411E+12,,,,,
I160047,PATANJALI AMLA AMRIT 5ML,Patanjali,,5,,,,8.90411E+12,,,,,
III469,PATANJALI AMLA HAIR OIL 100ML,Patanjali,Oct-18,40,,,,8.90411E+12,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,Nov-17,95,,,,8.90411E+12,,,,,
I06817,PATANJALI AMLA PICKLE,Patanjali,Feb-18,95,,,,8.90411E+12,,,,,
I06818,PATANJALI AMLA CANDY 500GM,Patanjali,,140,,,,8.90411E+12,,,,,
I06819,PATANJALI AMRIT RASYAN 500 GM,Patanjali,,85,,,,8.90411E+12,,,,,
I06820,PATANJALI AMLA CHATPATA 500GM,Patanjali,,145,,,,8.90411E+12,,,,,
I06821,PATANJALI BEL CANDY 500 GM,Patanjali,,140,,,,8.90411E+12,,,,,
II3848,PATANJALI ANTI BACTIREA HAND WASH REFIL,Patanjali,Sep-18,40,,,,8.90411E+12,,,,,
I01423,PATANJALI ANTI WRINK CREAM,Patanjali,Nov-18,150,,,,8.90411E+12,,,,,
I14430,PATANJALI APPLE 1LTR,Patanjali,Dec-19,85,,,,8.90411E+12,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,Jul-18,60,,,,8.90411E+12,,,,,
I15796,PATANJALI APRICOT FACE SCRUB 60GM,Patanjali,Dec-19,60,,,,8.90411E+12,,,,,
17930,PATANJALI ARHAR DAL (TUVAR DAL),Patanjali,Jul-17,124,,,,8.90411E+12,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8.90411E+12,,,,,
44755,PATANJALI ARHAR DAL (TUVAR DAL) 500GM,Patanjali,Jun-17,63,,,,8.90411E+12,,,,,
II8874,PATANJALI ARJUN AMLA JUICE 500ML,Patanjali,Aug-17,80,,,,8.90411E+12,,,,,
I02206,PATANJALI AROGYA BISCUITS,Patanjali,Jul-17,10,,,,8.90235E+12,,,,,
