 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I14231,18 HERBS DESI GHEE 200ML,,,285.000,,,,8906046410099,,,,,
I14232,18 HERBS DESI GHEE 500ML,,,650.000,,,,8906046410105    ,,,,,
I14237,18 HERBS DIA HEALTH T 50'S,,,230.000,,,,8906046410037    ,,,,,
I14235,18 HERBS DIA HEALTH TEA 15+2 BAGS,,,95.000,,,,8906046410464,,,,,
I07770,18 HERBS GREEN TEA LEMON 10'S,,,95.000,,,,8906046410662    ,,,,,
I14233,18 HERBS HAIR OIL 50ML,,,210.000,,,,8906046410785,,,,,
I17283,18 HERBS HERBO PROTEIN POWDER 100GM,,,293.000,,,,8906046410266,,,,,
I14234,18 HERBS HIBISCUS TEA 10+2,,,100.000,,,,8906046410488    ,,,,,
I14236,18 HERBS HIBISCUS TEA 40'S,,,350.000,,,,8906046410228    ,,,,,
I14229,18 HERBS LEXA TEA 15+2 TEA BAGS,,,95.000,,,,8906046410563    ,,,,,
I14227,18 HERBS PREMIUM GREEN MINT TEA 15+2,,,95.000,,,,8906046410549,,,,,
I14226,18 HERBS PREMIUM GREEN TEA 10+2 TEA BAGS,,,60.000,,,,8906046410013    ,,,,,
I14228,18 HERBS PREMIUM GREEN TULSI TEA 15+2,,,95.000,,,,8906046410525,,,,,
I14373,18HERB PREMIUM GREEN TREA 50'S,,,240.000,,,,8906046410006,,,,,
000070,1ST BITES WHEAT POWDER 400GM,,,210.000,,,,8904079200014,,,,,
I15479,24 MANTRA ANCIENT GRAINS KODO MILLE500GM,,,95.000,,,,8904083516446    ,,,,,
I15480,24 MANTRA ANCIENT GRAINS LITTLE MILLET 5,,,95.000,,,,8904083516453    ,,,,,
I17881,24 MANTRA ASSAM TEA,,,79.000,,,,8904083500353,,,,,
I17665,24 MANTRA BIRYANI 200GM,,,99.000,,,,8904083519805,,,,,
I17665,24 MANTRA BIRYANI 200GM,,,99.000,,,,8904083519805,,,,,
I15470,24 MANTRA CUMIN POWDER 100GM,,,70.000,,,,8904083501695,,,,,
I18290,24 MANTRA CUMIN SEEDS,,,70.000,,,,8904083500674    ,,,,,
I15472,24 MANTRA HIMALAYAN CRYSTAL SALT 1KG,,,90.000,,,,8904083518266,,,,,
I17664,24 MANTRA KHICHDI 200GM,,,99.000,,,,8904083519775,,,,,
I15475,24 MANTRA KISMIS 100GM,,,75.000,,,,8904083506614    ,,,,,
I15485,24 MANTRA LEMON GREEN TEA BLAST 250ML,,,49.000,,,,8904083518204,,,,,
I15463,24 MANTRA MUSTARD OIL 1LTR,,,375.000,,,,8904083505983    ,,,,,
I18287,24 MANTRA MUSTARD SMALL,,,35.000,,,,8904083500612,,,,,
I15461,24 MANTRA ORGA KARDI (SAFFLOWER)OIL,,,375.000,,,,8904083501060    ,,,,,
I15458,24 MANTRA ORGANIC BAJRA FLOUR 500GM,,,60.000,,,,8904083506065    ,,,,,
I15458,24 MANTRA ORGANIC BAJRA FLOUR 500GM,,,60.000,,,,8904083506065    ,,,,,
I15459,24 MANTRA ORGANIC BESAN 500GM,,,110.000,,,,8904083506119    ,,,,,
I15457,24 MANTRA ORGANIC MULTIGRAIN ATTA 500GM,,,90.000,,,,8904083506034    ,,,,,
I15467,24 MANTRA ORGANIC PANCHARATAN DAL 500GM,,,120.000,,,,8904083514275    ,,,,,
I15455,24 MANTRA ORGANIC POHA 500GM,,,60.000,,,,8904083504849    ,,,,,
